1687463409.932		122608	301	78	122069	160	122069	26	366	0	200
1687463410.064		88246	246	66	87871	63	87873	26	366	0	200
1687463410.196		115992	181	43	115622	146	115615	26	366	0	200
1687463410.327		115533	286	67	115085	95	115087	26	366	0	200
1687463410.457		54425	225	62	54090	48	54094	26	366	0	200
1687463410.586		46077	121	31	45864	61	45865	26	366	0	200
1687463410.717		43571	153	20	43334	64	43332	26	366	0	200
1687463410.845		46191	142	32	45951	66	45951	26	366	0	200
1687463410.976		46416	146	32	46165	73	46164	26	366	0	200
1687463411.103		43019	136	25	42807	51	42805	26	366	0	200
1687463411.233		41759	111	22	41568	58	41552	26	366	0	200
1687463411.361		47955	128	42	47730	55	47727	26	366	0	200
1687463411.488		101559	305	83	101074	97	101082	26	366	0	200
1687463411.617		119853	361	95	119333	64	119339	26	366	0	200
1687463411.744		44445	80	33	44281	51	44278	26	366	0	200
1687463411.871		48398	178	39	48123	58	48123	26	366	0	200
1687463411.997		43214	87	46	43035	46	43031	26	366	0	200
1687463412.124		44070	88	17	43903	62	43898	26	366	0	200
1687463412.249		44968	139	38	44724	67	44721	26	366	0	200
1687463412.376		43354	134	16	43138	66	43136	26	366	0	200
1687463412.500		44023	121	27	43810	65	43809	26	366	0	200
1687463412.626		44305	151	33	44069	52	44068	26	366	0	200
1687463412.751		126005	239	54	125562	150	125560	26	366	0	200
1687463412.876		132706	248	76	132257	125	132258	26	366	0	200
1687463413.000		111872	267	79	111482	44	111490	26	366	0	200
1687463413.123		43563	131	20	43330	82	43328	26	366	0	200
1687463413.248		45446	93	31	45255	67	45251	26	366	0	200
1687463413.370		139090	364	118	138452	156	138455	26	366	0	200
1687463413.493		90012	269	81	89593	69	89598	26	366	0	200
1687463413.616		120091	249	71	119637	134	119635	26	366	0	200
1687463413.739		120544	216	76	120083	169	120080	26	366	0	200
1687463413.862		114719	266	89	114305	59	114311	26	366	0	200
1687463413.983		41738	63	18	41593	64	41589	26	366	0	200
1687463414.105		44167	74	17	44024	52	44022	26	366	0	200
1687463414.227		42514	101	19	42344	50	42340	26	366	0	200
1687463414.347		130760	271	72	130352	65	130359	26	366	0	200
1687463414.468		49671	137	39	49443	52	49444	26	366	0	200
